params.alpha,params.loss,params.penalty,metrics.test_auc_score,metrics.test_ap_score
0.0001,hinge,l2,0.7093963343486156,0.20011997962965583
0.0001,hinge,l1,0.689805145999489,0.18884222948395252
0.0001,hinge,elasticnet,0.7079369893008008,0.19987911637182762
0.0001,log,l2,0.7099251441714373,0.20248869577804113
0.0001,log,l1,0.6806571658946716,0.18563844776572472
0.0001,log,elasticnet,0.7054978484715041,0.2000671724798616
0.0001,modified_huber,l2,0.6992709242262382,0.19284679084775652
0.0001,modified_huber,l1,0.6967901935220372,0.18925346779847896
0.0001,modified_huber,elasticnet,0.7019147015110988,0.1954606155604046
0.0001,squared_hinge,l2,0.5957276554659425,0.12893841305013296
0.0001,squared_hinge,l1,0.5924251764511606,0.1276272142177709
0.0001,squared_hinge,elasticnet,0.5950983028001131,0.12868074076044825
0.0001,perceptron,l2,0.6115131111740848,0.14036808679789586
0.0001,perceptron,l1,0.573299555151436,0.12448219689708542
0.0001,perceptron,elasticnet,0.6075449435682483,0.1399689269148442
0.001,hinge,l2,0.6967148373577654,0.19445885226444912
0.001,hinge,l1,0.6243849013803489,0.1475516743273961
0.001,hinge,elasticnet,0.6809926159283783,0.18438727018050924
0.001,log,l2,0.6984157918861688,0.19412762434375191
0.001,log,l1,0.5096245434967572,0.10806754813943838
0.001,log,elasticnet,0.6688604136425662,0.17428519002296822
0.001,modified_huber,l2,0.7097138478993037,0.20243055158788126
0.001,modified_huber,l1,0.6471731117381305,0.16064154898736643
0.001,modified_huber,elasticnet,0.6966822051060405,0.19484087536490452
0.001,squared_hinge,l2,0.7097215610542082,0.20243692679135275
0.001,squared_hinge,l1,0.6439923527636879,0.15766628246614517
0.001,squared_hinge,elasticnet,0.6964375163097548,0.194968504541342
0.001,perceptron,l2,0.6126311448700384,0.14459854697028698
0.001,perceptron,l1,0.5,0.101564675093268
0.001,perceptron,elasticnet,0.5661827936163619,0.12386616336346061
0.01,hinge,l2,0.6909397060642388,0.18745412643630213
0.01,hinge,l1,0.5,0.101564675093268
0.01,hinge,elasticnet,0.5700824687464323,0.12421832377131571
