alpha,fit_prior,test_ap_score,test_auc_score
0.1,TRUE,0.19897,0.696561
0.1,FALSE,0.19897,0.696561
0.5,TRUE,0.207749,0.70966
0.5,FALSE,0.207749,0.70966
1,TRUE,0.210354,0.714404
1,FALSE,0.210354,0.714404
1.2,TRUE,0.210838,0.715455
1.2,FALSE,0.210838,0.715455
1.4,TRUE,0.211237,0.71627
1.4,FALSE,0.211237,0.71627
1.6,TRUE,0.211474,0.716874
1.6,FALSE,0.211474,0.716874
1.7,TRUE,0.21159,0.71712
1.7,FALSE,0.21159,0.71712
1.8,TRUE,0.211707,0.717333
1.8,FALSE,0.211707,0.717333
2,TRUE,0.211758,0.71769
2,FALSE,0.211758,0.71769
2.5,TRUE,0.211805,0.718243
2.5,FALSE,0.211805,0.718243
3,TRUE,0.211619,0.718457
3,FALSE,0.211619,0.718457
4,TRUE,0.211242,0.718425
4,FALSE,0.211242,0.718425
